Prénom,Total,Vorname,Anzahl,Nome,Totale,region
Maria,6410,Maria,6410,Maria,6410,Région linguistique italienne
Anna,2772,Anna,2772,Anna,2772,Région linguistique italienne
Sara,2002,Sara,2002,Sara,2002,Région linguistique italienne
Daniela,1907,Daniela,1907,Daniela,1907,Région linguistique italienne
Laura,1858,Laura,1858,Laura,1858,Région linguistique italienne
Elena,1814,Elena,1814,Elena,1814,Région linguistique italienne
Francesca,1660,Francesca,1660,Francesca,1660,Région linguistique italienne
Giulia,1608,Giulia,1608,Giulia,1608,Région linguistique italienne
Paola,1445,Paola,1445,Paola,1445,Région linguistique italienne
Cristina,1383,Cristina,1383,Cristina,1383,Région linguistique italienne
Claudia,1354,Claudia,1354,Claudia,1354,Région linguistique italienne
Monica,1331,Monica,1331,Monica,1331,Région linguistique italienne
Barbara,1326,Barbara,1326,Barbara,1326,Région linguistique italienne
Chiara,1325,Chiara,1325,Chiara,1325,Région linguistique italienne
Valentina,1234,Valentina,1234,Valentina,1234,Région linguistique italienne
Martina,1229,Martina,1229,Martina,1229,Région linguistique italienne
Silvia,1207,Silvia,1207,Silvia,1207,Région linguistique italienne
Elisa,1179,Elisa,1179,Elisa,1179,Région linguistique italienne
Sofia,1158,Sofia,1158,Sofia,1158,Région linguistique italienne
Manuela,1155,Manuela,1155,Manuela,1155,Région linguistique italienne
Patrizia,1150,Patrizia,1150,Patrizia,1150,Région linguistique italienne
Alice,1112,Alice,1112,Alice,1112,Région linguistique italienne
Alessia,1072,Alessia,1072,Alessia,1072,Région linguistique italienne
Angela,1064,Angela,1064,Angela,1064,Région linguistique italienne
Simona,1026,Simona,1026,Simona,1026,Région linguistique italienne
Nadia,1023,Nadia,1023,Nadia,1023,Région linguistique italienne
Alessandra,1015,Alessandra,1015,Alessandra,1015,Région linguistique italienne
Lucia,1008,Lucia,1008,Lucia,1008,Région linguistique italienne
Carla,975,Carla,975,Carla,975,Région linguistique italienne
Michela,970,Michela,970,Michela,970,Région linguistique italienne
Sandra,912,Sandra,912,Sandra,912,Région linguistique italienne
Rita,906,Rita,906,Rita,906,Région linguistique italienne
Stefania,889,Stefania,889,Stefania,889,Région linguistique italienne
Nicole,882,Nicole,882,Nicole,882,Région linguistique italienne
Giovanna,840,Giovanna,840,Giovanna,840,Région linguistique italienne
Roberta,826,Roberta,826,Roberta,826,Région linguistique italienne
Sabrina,813,Sabrina,813,Sabrina,813,Région linguistique italienne
Sonia,812,Sonia,812,Sonia,812,Région linguistique italienne
Antonella,799,Antonella,799,Antonella,799,Région linguistique italienne
Rosa,789,Rosa,789,Rosa,789,Région linguistique italienne
Emma,766,Emma,766,Emma,766,Région linguistique italienne
Lara,759,Lara,759,Lara,759,Région linguistique italienne
Gabriella,742,Gabriella,742,Gabriella,742,Région linguistique italienne
Giada,736,Giada,736,Giada,736,Région linguistique italienne
Giorgia,711,Giorgia,711,Giorgia,711,Région linguistique italienne
Lisa,709,Lisa,709,Lisa,709,Région linguistique italienne
Beatrice,685,Beatrice,685,Beatrice,685,Région linguistique italienne
Silvana,681,Silvana,681,Silvana,681,Région linguistique italienne
Marina,660,Marina,660,Marina,660,Région linguistique italienne
Franca,654,Franca,654,Franca,654,Région linguistique italienne
Federica,651,Federica,651,Federica,651,Région linguistique italienne
Giuseppina,632,Giuseppina,632,Giuseppina,632,Région linguistique italienne
Carmen,610,Carmen,610,Carmen,610,Région linguistique italienne
Cinzia,608,Cinzia,608,Cinzia,608,Région linguistique italienne
Caterina,599,Caterina,599,Caterina,599,Région linguistique italienne
Valeria,597,Valeria,597,Valeria,597,Région linguistique italienne
Eleonora,596,Eleonora,596,Eleonora,596,Région linguistique italienne
Tiziana,592,Tiziana,592,Tiziana,592,Région linguistique italienne
Marisa,581,Marisa,581,Marisa,581,Région linguistique italienne
Arianna,576,Arianna,576,Arianna,576,Région linguistique italienne
Ana,574,Ana,574,Ana,574,Région linguistique italienne
Jessica,574,Jessica,574,Jessica,574,Région linguistique italienne
Katia,564,Katia,564,Katia,564,Région linguistique italienne
Aurora,556,Aurora,556,Aurora,556,Région linguistique italienne
Renata,555,Renata,555,Renata,555,Région linguistique italienne
Noemi,545,Noemi,545,Noemi,545,Région linguistique italienne
Mara,523,Mara,523,Mara,523,Région linguistique italienne
Gaia,521,Gaia,521,Gaia,521,Région linguistique italienne
Ilaria,519,Ilaria,519,Ilaria,519,Région linguistique italienne
Teresa,493,Teresa,493,Teresa,493,Région linguistique italienne
Irene,484,Irene,484,Irene,484,Région linguistique italienne
Adriana,482,Adriana,482,Adriana,482,Région linguistique italienne
Veronica,481,Veronica,481,Veronica,481,Région linguistique italienne
Isabella,480,Isabella,480,Isabella,480,Région linguistique italienne
Ursula,477,Ursula,477,Ursula,477,Région linguistique italienne
Camilla,471,Camilla,471,Camilla,471,Région linguistique italienne
Elisabetta,464,Elisabetta,464,Elisabetta,464,Région linguistique italienne
Graziella,463,Graziella,463,Graziella,463,Région linguistique italienne
Diana,461,Diana,461,Diana,461,Région linguistique italienne
Marta,459,Marta,459,Marta,459,Région linguistique italienne
Ivana,453,Ivana,453,Ivana,453,Région linguistique italienne
Anita,449,Anita,449,Anita,449,Région linguistique italienne
Loredana,449,Loredana,449,Loredana,449,Région linguistique italienne
Margherita,449,Margherita,449,Margherita,449,Région linguistique italienne
Rosanna,437,Rosanna,437,Rosanna,437,Région linguistique italienne
Luisa,436,Luisa,436,Luisa,436,Région linguistique italienne
Milena,433,Milena,433,Milena,433,Région linguistique italienne
Raffaella,433,Raffaella,433,Raffaella,433,Région linguistique italienne
Vanessa,430,Vanessa,430,Vanessa,430,Région linguistique italienne
Liliana,429,Liliana,429,Liliana,429,Région linguistique italienne
Luciana,426,Luciana,426,Luciana,426,Région linguistique italienne
Linda,425,Linda,425,Linda,425,Région linguistique italienne
Melissa,417,Melissa,417,Melissa,417,Région linguistique italienne
Verena,408,Verena,408,Verena,408,Région linguistique italienne
Flavia,407,Flavia,407,Flavia,407,Région linguistique italienne
Lorenza,402,Lorenza,402,Lorenza,402,Région linguistique italienne
Matilde,390,Matilde,390,Matilde,390,Région linguistique italienne
Pamela,389,Pamela,389,Pamela,389,Région linguistique italienne
Antonietta,384,Antonietta,384,Antonietta,384,Région linguistique italienne
Lorena,384,Lorena,384,Lorena,384,Région linguistique italienne
