Prénom,Total,Vorname,Anzahl,Nome,Totale,region
Marco,3781,Marco,3781,Marco,3781,Région linguistique italienne
Andrea,3235,Andrea,3235,Andrea,3235,Région linguistique italienne
Luca,3214,Luca,3214,Luca,3214,Région linguistique italienne
Alessandro,2700,Alessandro,2700,Alessandro,2700,Région linguistique italienne
Francesco,2537,Francesco,2537,Francesco,2537,Région linguistique italienne
Giuseppe,2439,Giuseppe,2439,Giuseppe,2439,Région linguistique italienne
Antonio,2279,Antonio,2279,Antonio,2279,Région linguistique italienne
Roberto,2164,Roberto,2164,Roberto,2164,Région linguistique italienne
Stefano,2129,Stefano,2129,Stefano,2129,Région linguistique italienne
Davide,2067,Davide,2067,Davide,2067,Région linguistique italienne
Matteo,2021,Matteo,2021,Matteo,2021,Région linguistique italienne
Giovanni,1990,Giovanni,1990,Giovanni,1990,Région linguistique italienne
Paolo,1951,Paolo,1951,Paolo,1951,Région linguistique italienne
Fabio,1785,Fabio,1785,Fabio,1785,Région linguistique italienne
Michele,1749,Michele,1749,Michele,1749,Région linguistique italienne
Claudio,1711,Claudio,1711,Claudio,1711,Région linguistique italienne
Daniele,1662,Daniele,1662,Daniele,1662,Région linguistique italienne
Simone,1568,Simone,1568,Simone,1568,Région linguistique italienne
Mattia,1552,Mattia,1552,Mattia,1552,Région linguistique italienne
Nicola,1484,Nicola,1484,Nicola,1484,Région linguistique italienne
Mario,1467,Mario,1467,Mario,1467,Région linguistique italienne
Lorenzo,1431,Lorenzo,1431,Lorenzo,1431,Région linguistique italienne
Christian,1375,Christian,1375,Christian,1375,Région linguistique italienne
Massimo,1295,Massimo,1295,Massimo,1295,Région linguistique italienne
Mauro,1290,Mauro,1290,Mauro,1290,Région linguistique italienne
Gabriele,1269,Gabriele,1269,Gabriele,1269,Région linguistique italienne
Giorgio,1250,Giorgio,1250,Giorgio,1250,Région linguistique italienne
Leonardo,1182,Leonardo,1182,Leonardo,1182,Région linguistique italienne
Luigi,1157,Luigi,1157,Luigi,1157,Région linguistique italienne
Franco,1129,Franco,1129,Franco,1129,Région linguistique italienne
Carlo,1127,Carlo,1127,Carlo,1127,Région linguistique italienne
Pietro,1126,Pietro,1126,Pietro,1126,Région linguistique italienne
Riccardo,1082,Riccardo,1082,Riccardo,1082,Région linguistique italienne
Alberto,1027,Alberto,1027,Alberto,1027,Région linguistique italienne
Sergio,1022,Sergio,1022,Sergio,1022,Région linguistique italienne
Bruno,994,Bruno,994,Bruno,994,Région linguistique italienne
Angelo,964,Angelo,964,Angelo,964,Région linguistique italienne
Ivan,955,Ivan,955,Ivan,955,Région linguistique italienne
Federico,953,Federico,953,Federico,953,Région linguistique italienne
Diego,911,Diego,911,Diego,911,Région linguistique italienne
Daniel,909,Daniel,909,Daniel,909,Région linguistique italienne
Maurizio,907,Maurizio,907,Maurizio,907,Région linguistique italienne
Fabrizio,883,Fabrizio,883,Fabrizio,883,Région linguistique italienne
Giacomo,827,Giacomo,827,Giacomo,827,Région linguistique italienne
Dario,816,Dario,816,Dario,816,Région linguistique italienne
Salvatore,812,Salvatore,812,Salvatore,812,Région linguistique italienne
Filippo,773,Filippo,773,Filippo,773,Région linguistique italienne
Patrick,744,Patrick,744,Patrick,744,Région linguistique italienne
Vincenzo,740,Vincenzo,740,Vincenzo,740,Région linguistique italienne
Enrico,738,Enrico,738,Enrico,738,Région linguistique italienne
Alessio,733,Alessio,733,Alessio,733,Région linguistique italienne
Samuele,731,Samuele,731,Samuele,731,Région linguistique italienne
Manuel,717,Manuel,717,Manuel,717,Région linguistique italienne
Elia,715,Elia,715,Elia,715,Région linguistique italienne
Thomas,668,Thomas,668,Thomas,668,Région linguistique italienne
Renato,655,Renato,655,Renato,655,Région linguistique italienne
Domenico,654,Domenico,654,Domenico,654,Région linguistique italienne
Flavio,632,Flavio,632,Flavio,632,Région linguistique italienne
Alex,611,Alex,611,Alex,611,Région linguistique italienne
Sandro,610,Sandro,610,Sandro,610,Région linguistique italienne
David,609,David,609,David,609,Région linguistique italienne
Luciano,591,Luciano,591,Luciano,591,Région linguistique italienne
Gabriel,588,Gabriel,588,Gabriel,588,Région linguistique italienne
Enea,579,Enea,579,Enea,579,Région linguistique italienne
Tommaso,577,Tommaso,577,Tommaso,577,Région linguistique italienne
Tiziano,575,Tiziano,575,Tiziano,575,Région linguistique italienne
Raffaele,574,Raffaele,574,Raffaele,574,Région linguistique italienne
Emanuele,563,Emanuele,563,Emanuele,563,Région linguistique italienne
Gianluca,531,Gianluca,531,Gianluca,531,Région linguistique italienne
Peter,512,Peter,512,Peter,512,Région linguistique italienne
Nicolò,502,Nicolò,502,Nicolò,502,Région linguistique italienne
Kevin,477,Kevin,477,Kevin,477,Région linguistique italienne
Giancarlo,475,Giancarlo,475,Giancarlo,475,Région linguistique italienne
Nathan,474,Nathan,474,Nathan,474,Région linguistique italienne
Edoardo,467,Edoardo,467,Edoardo,467,Région linguistique italienne
Gianni,465,Gianni,465,Gianni,465,Région linguistique italienne
Samuel,462,Samuel,462,Samuel,462,Région linguistique italienne
Danilo,459,Danilo,459,Danilo,459,Région linguistique italienne
Gian,450,Gian,450,Gian,450,Région linguistique italienne
Walter,449,Walter,449,Walter,449,Région linguistique italienne
Aldo,444,Aldo,444,Aldo,444,Région linguistique italienne
Mirko,440,Mirko,440,Mirko,440,Région linguistique italienne
Noah,439,Noah,439,Noah,439,Région linguistique italienne
Loris,436,Loris,436,Loris,436,Région linguistique italienne
Adriano,432,Adriano,432,Adriano,432,Région linguistique italienne
Michael,431,Michael,431,Michael,431,Région linguistique italienne
Silvano,422,Silvano,422,Silvano,422,Région linguistique italienne
Fausto,420,Fausto,420,Fausto,420,Région linguistique italienne
Guido,419,Guido,419,Guido,419,Région linguistique italienne
Gioele,418,Gioele,418,Gioele,418,Région linguistique italienne
Nicolas,410,Nicolas,410,Nicolas,410,Région linguistique italienne
Alan,407,Alan,407,Alan,407,Région linguistique italienne
Massimiliano,402,Massimiliano,402,Massimiliano,402,Région linguistique italienne
Moreno,402,Moreno,402,Moreno,402,Région linguistique italienne
Liam,391,Liam,391,Liam,391,Région linguistique italienne
Gianfranco,387,Gianfranco,387,Gianfranco,387,Région linguistique italienne
José,381,José,381,José,381,Région linguistique italienne
Jonathan,373,Jonathan,373,Jonathan,373,Région linguistique italienne
Omar,371,Omar,371,Omar,371,Région linguistique italienne
Renzo,371,Renzo,371,Renzo,371,Région linguistique italienne
