Prénom,Total,Vorname,Anzahl,Nome,Totale,region
Lia,3,Lia,3,Lia,3,Région linguistique romanche
Sofia,3,Sofia,3,Sofia,3,Région linguistique romanche
Elin,2,Elin,2,Elin,2,Région linguistique romanche
Leana,2,Leana,2,Leana,2,Région linguistique romanche
Alana,1,Alana,1,Alana,1,Région linguistique romanche
Alice,1,Alice,1,Alice,1,Région linguistique romanche
Amanda,1,Amanda,1,Amanda,1,Région linguistique romanche
Ana,1,Ana,1,Ana,1,Région linguistique romanche
Anna,1,Anna,1,Anna,1,Région linguistique romanche
Arina,1,Arina,1,Arina,1,Région linguistique romanche
Aurora,1,Aurora,1,Aurora,1,Région linguistique romanche
Bigna,1,Bigna,1,Bigna,1,Région linguistique romanche
Carminho,1,Carminho,1,Carminho,1,Région linguistique romanche
Carolina,1,Carolina,1,Carolina,1,Région linguistique romanche
Chiara,1,Chiara,1,Chiara,1,Région linguistique romanche
Chloe,1,Chloe,1,Chloe,1,Région linguistique romanche
Corsina,1,Corsina,1,Corsina,1,Région linguistique romanche
Célia,1,Célia,1,Célia,1,Région linguistique romanche
Daria,1,Daria,1,Daria,1,Région linguistique romanche
Elisabeth,1,Elisabeth,1,Elisabeth,1,Région linguistique romanche
Elodie,1,Elodie,1,Elodie,1,Région linguistique romanche
Fabienne,1,Fabienne,1,Fabienne,1,Région linguistique romanche
Francesca,1,Francesca,1,Francesca,1,Région linguistique romanche
Gianna,1,Gianna,1,Gianna,1,Région linguistique romanche
Giulia,1,Giulia,1,Giulia,1,Région linguistique romanche
Hevi,1,Hevi,1,Hevi,1,Région linguistique romanche
Ilaria,1,Ilaria,1,Ilaria,1,Région linguistique romanche
Ivana,1,Ivana,1,Ivana,1,Région linguistique romanche
Julia,1,Julia,1,Julia,1,Région linguistique romanche
Lamia,1,Lamia,1,Lamia,1,Région linguistique romanche
Lara,1,Lara,1,Lara,1,Région linguistique romanche
Laura,1,Laura,1,Laura,1,Région linguistique romanche
Leonie,1,Leonie,1,Leonie,1,Région linguistique romanche
Lina,1,Lina,1,Lina,1,Région linguistique romanche
Louisa,1,Louisa,1,Louisa,1,Région linguistique romanche
Luisa,1,Luisa,1,Luisa,1,Région linguistique romanche
Luna,1,Luna,1,Luna,1,Région linguistique romanche
Lynn,1,Lynn,1,Lynn,1,Région linguistique romanche
Madleina,1,Madleina,1,Madleina,1,Région linguistique romanche
Maela,1,Maela,1,Maela,1,Région linguistique romanche
Maya,1,Maya,1,Maya,1,Région linguistique romanche
Melina,1,Melina,1,Melina,1,Région linguistique romanche
Mia,1,Mia,1,Mia,1,Région linguistique romanche
Mila,1,Mila,1,Mila,1,Région linguistique romanche
Mona,1,Mona,1,Mona,1,Région linguistique romanche
Naomi,1,Naomi,1,Naomi,1,Région linguistique romanche
Naya,1,Naya,1,Naya,1,Région linguistique romanche
Nea,1,Nea,1,Nea,1,Région linguistique romanche
Nora,1,Nora,1,Nora,1,Région linguistique romanche
Olivia,1,Olivia,1,Olivia,1,Région linguistique romanche
Onna,1,Onna,1,Onna,1,Région linguistique romanche
Parajsa,1,Parajsa,1,Parajsa,1,Région linguistique romanche
Paula,1,Paula,1,Paula,1,Région linguistique romanche
Pippa,1,Pippa,1,Pippa,1,Région linguistique romanche
Selina,1,Selina,1,Selina,1,Région linguistique romanche
Shayenne,1,Shayenne,1,Shayenne,1,Région linguistique romanche
Sienna,1,Sienna,1,Sienna,1,Région linguistique romanche
Sina,1,Sina,1,Sina,1,Région linguistique romanche
Valentina,1,Valentina,1,Valentina,1,Région linguistique romanche
Victoria,1,Victoria,1,Victoria,1,Région linguistique romanche
Victória,1,Victória,1,Victória,1,Région linguistique romanche
Yael,1,Yael,1,Yael,1,Région linguistique romanche
