Prénom,Total,Vorname,Anzahl,Nome,Totale,region
Gian,3,Gian,3,Gian,3,Région linguistique romanche
Jan,3,Jan,3,Jan,3,Région linguistique romanche
Andrin,2,Andrin,2,Andrin,2,Région linguistique romanche
Diego,2,Diego,2,Diego,2,Région linguistique romanche
Elia,2,Elia,2,Elia,2,Région linguistique romanche
Flurin,2,Flurin,2,Flurin,2,Région linguistique romanche
Joel,2,Joel,2,Joel,2,Région linguistique romanche
Leandro,2,Leandro,2,Leandro,2,Région linguistique romanche
Levi,2,Levi,2,Levi,2,Région linguistique romanche
Lino,2,Lino,2,Lino,2,Région linguistique romanche
Lio,2,Lio,2,Lio,2,Région linguistique romanche
Mauro,2,Mauro,2,Mauro,2,Région linguistique romanche
Afonso,1,Afonso,1,Afonso,1,Région linguistique romanche
Alessio,1,Alessio,1,Alessio,1,Région linguistique romanche
Andri,1,Andri,1,Andri,1,Région linguistique romanche
Arvid,1,Arvid,1,Arvid,1,Région linguistique romanche
Colin,1,Colin,1,Colin,1,Région linguistique romanche
Cyril,1,Cyril,1,Cyril,1,Région linguistique romanche
Dylan,1,Dylan,1,Dylan,1,Région linguistique romanche
Eli,1,Eli,1,Eli,1,Région linguistique romanche
Elias,1,Elias,1,Elias,1,Région linguistique romanche
Elio,1,Elio,1,Elio,1,Région linguistique romanche
Emilio,1,Emilio,1,Emilio,1,Région linguistique romanche
Enea,1,Enea,1,Enea,1,Région linguistique romanche
Eric,1,Eric,1,Eric,1,Région linguistique romanche
Fabio,1,Fabio,1,Fabio,1,Région linguistique romanche
Faniel,1,Faniel,1,Faniel,1,Région linguistique romanche
Finn,1,Finn,1,Finn,1,Région linguistique romanche
Gion,1,Gion,1,Gion,1,Région linguistique romanche
Jakob,1,Jakob,1,Jakob,1,Région linguistique romanche
Jaris,1,Jaris,1,Jaris,1,Région linguistique romanche
John,1,John,1,John,1,Région linguistique romanche
Jonin,1,Jonin,1,Jonin,1,Région linguistique romanche
Josua,1,Josua,1,Josua,1,Région linguistique romanche
Kilian,1,Kilian,1,Kilian,1,Région linguistique romanche
Laurin,1,Laurin,1,Laurin,1,Région linguistique romanche
Lauro,1,Lauro,1,Lauro,1,Région linguistique romanche
Lennon,1,Lennon,1,Lennon,1,Région linguistique romanche
Leo,1,Leo,1,Leo,1,Région linguistique romanche
Leonardo,1,Leonardo,1,Leonardo,1,Région linguistique romanche
Levin,1,Levin,1,Levin,1,Région linguistique romanche
Lian,1,Lian,1,Lian,1,Région linguistique romanche
Livian,1,Livian,1,Livian,1,Région linguistique romanche
Livio,1,Livio,1,Livio,1,Région linguistique romanche
Loris,1,Loris,1,Loris,1,Région linguistique romanche
Luca,1,Luca,1,Luca,1,Région linguistique romanche
Lucio,1,Lucio,1,Lucio,1,Région linguistique romanche
Luis,1,Luis,1,Luis,1,Région linguistique romanche
Maksim,1,Maksim,1,Maksim,1,Région linguistique romanche
Marino,1,Marino,1,Marino,1,Région linguistique romanche
Matheo,1,Matheo,1,Matheo,1,Région linguistique romanche
Matheus,1,Matheus,1,Matheus,1,Région linguistique romanche
Maurin,1,Maurin,1,Maurin,1,Région linguistique romanche
Maurus,1,Maurus,1,Maurus,1,Région linguistique romanche
Mick,1,Mick,1,Mick,1,Région linguistique romanche
Neo,1,Neo,1,Neo,1,Région linguistique romanche
Nevin,1,Nevin,1,Nevin,1,Région linguistique romanche
Nevio,1,Nevio,1,Nevio,1,Région linguistique romanche
Nico,1,Nico,1,Nico,1,Région linguistique romanche
Niculin,1,Niculin,1,Niculin,1,Région linguistique romanche
Noe,1,Noe,1,Noe,1,Région linguistique romanche
Nordin,1,Nordin,1,Nordin,1,Région linguistique romanche
Noè,1,Noè,1,Noè,1,Région linguistique romanche
Phil,1,Phil,1,Phil,1,Région linguistique romanche
Raoul,1,Raoul,1,Raoul,1,Région linguistique romanche
Ronny,1,Ronny,1,Ronny,1,Région linguistique romanche
Vincent,1,Vincent,1,Vincent,1,Région linguistique romanche
Vito,1,Vito,1,Vito,1,Région linguistique romanche
Yari,1,Yari,1,Yari,1,Région linguistique romanche
Zyan,1,Zyan,1,Zyan,1,Région linguistique romanche
