Prénom,Total,Vorname,Anzahl,Nome,Totale,region
Maria,287,Maria,287,Maria,287,Région linguistique romanche
Anna,237,Anna,237,Anna,237,Région linguistique romanche
Claudia,138,Claudia,138,Claudia,138,Région linguistique romanche
Rita,127,Rita,127,Rita,127,Région linguistique romanche
Anita,103,Anita,103,Anita,103,Région linguistique romanche
Silvia,94,Silvia,94,Silvia,94,Région linguistique romanche
Elisabeth,81,Elisabeth,81,Elisabeth,81,Région linguistique romanche
Daniela,77,Daniela,77,Daniela,77,Région linguistique romanche
Martina,76,Martina,76,Martina,76,Région linguistique romanche
Sandra,72,Sandra,72,Sandra,72,Région linguistique romanche
Ursula,72,Ursula,72,Ursula,72,Région linguistique romanche
Andrea,71,Andrea,71,Andrea,71,Région linguistique romanche
Seraina,66,Seraina,66,Seraina,66,Région linguistique romanche
Manuela,61,Manuela,61,Manuela,61,Région linguistique romanche
Monika,58,Monika,58,Monika,58,Région linguistique romanche
Ursina,58,Ursina,58,Ursina,58,Région linguistique romanche
Ladina,57,Ladina,57,Ladina,57,Région linguistique romanche
Laura,56,Laura,56,Laura,56,Région linguistique romanche
Flurina,53,Flurina,53,Flurina,53,Région linguistique romanche
Selina,53,Selina,53,Selina,53,Région linguistique romanche
Petra,52,Petra,52,Petra,52,Région linguistique romanche
Barbara,51,Barbara,51,Barbara,51,Région linguistique romanche
Corina,51,Corina,51,Corina,51,Région linguistique romanche
Nicole,48,Nicole,48,Nicole,48,Région linguistique romanche
Sonja,47,Sonja,47,Sonja,47,Région linguistique romanche
Beatrice,46,Beatrice,46,Beatrice,46,Région linguistique romanche
Lea,46,Lea,46,Lea,46,Région linguistique romanche
Mengia,46,Mengia,46,Mengia,46,Région linguistique romanche
Karin,45,Karin,45,Karin,45,Région linguistique romanche
Pia,44,Pia,44,Pia,44,Région linguistique romanche
Carla,43,Carla,43,Carla,43,Région linguistique romanche
Heidi,42,Heidi,42,Heidi,42,Région linguistique romanche
Madlaina,42,Madlaina,42,Madlaina,42,Région linguistique romanche
Julia,41,Julia,41,Julia,41,Région linguistique romanche
Marina,41,Marina,41,Marina,41,Région linguistique romanche
Regula,41,Regula,41,Regula,41,Région linguistique romanche
Verena,41,Verena,41,Verena,41,Région linguistique romanche
Jolanda,40,Jolanda,40,Jolanda,40,Région linguistique romanche
Nina,40,Nina,40,Nina,40,Région linguistique romanche
Rosa,40,Rosa,40,Rosa,40,Région linguistique romanche
Gabriela,39,Gabriela,39,Gabriela,39,Région linguistique romanche
Sara,39,Sara,39,Sara,39,Région linguistique romanche
Ana,38,Ana,38,Ana,38,Région linguistique romanche
Angela,38,Angela,38,Angela,38,Région linguistique romanche
Cornelia,38,Cornelia,38,Cornelia,38,Région linguistique romanche
Lara,38,Lara,38,Lara,38,Région linguistique romanche
Tina,38,Tina,38,Tina,38,Région linguistique romanche
Erika,37,Erika,37,Erika,37,Région linguistique romanche
Rosmarie,37,Rosmarie,37,Rosmarie,37,Région linguistique romanche
Flavia,36,Flavia,36,Flavia,36,Région linguistique romanche
Gianna,36,Gianna,36,Gianna,36,Région linguistique romanche
Marianne,36,Marianne,36,Marianne,36,Région linguistique romanche
Yvonne,36,Yvonne,36,Yvonne,36,Région linguistique romanche
Doris,35,Doris,35,Doris,35,Région linguistique romanche
Anja,34,Anja,34,Anja,34,Région linguistique romanche
Katharina,34,Katharina,34,Katharina,34,Région linguistique romanche
Monica,34,Monica,34,Monica,34,Région linguistique romanche
Brigitta,32,Brigitta,32,Brigitta,32,Région linguistique romanche
Christina,32,Christina,32,Christina,32,Région linguistique romanche
Lina,32,Lina,32,Lina,32,Région linguistique romanche
Ruth,32,Ruth,32,Ruth,32,Région linguistique romanche
Susanne,32,Susanne,32,Susanne,32,Région linguistique romanche
Brigitte,31,Brigitte,31,Brigitte,31,Région linguistique romanche
Esther,31,Esther,31,Esther,31,Région linguistique romanche
Livia,31,Livia,31,Livia,31,Région linguistique romanche
Ramona,31,Ramona,31,Ramona,31,Région linguistique romanche
Renata,31,Renata,31,Renata,31,Région linguistique romanche
Silvana,31,Silvana,31,Silvana,31,Région linguistique romanche
Bettina,30,Bettina,30,Bettina,30,Région linguistique romanche
Carmen,30,Carmen,30,Carmen,30,Région linguistique romanche
Chiara,30,Chiara,30,Chiara,30,Région linguistique romanche
Tamara,30,Tamara,30,Tamara,30,Région linguistique romanche
Elena,29,Elena,29,Elena,29,Région linguistique romanche
Ida,29,Ida,29,Ida,29,Région linguistique romanche
Lorena,29,Lorena,29,Lorena,29,Région linguistique romanche
Patricia,29,Patricia,29,Patricia,29,Région linguistique romanche
Alexandra,28,Alexandra,28,Alexandra,28,Région linguistique romanche
Christine,28,Christine,28,Christine,28,Région linguistique romanche
Marianna,28,Marianna,28,Marianna,28,Région linguistique romanche
Nadia,28,Nadia,28,Nadia,28,Région linguistique romanche
Sarah,28,Sarah,28,Sarah,28,Région linguistique romanche
Annina,27,Annina,27,Annina,27,Région linguistique romanche
Antonia,27,Antonia,27,Antonia,27,Région linguistique romanche
Irma,27,Irma,27,Irma,27,Région linguistique romanche
Luzia,27,Luzia,27,Luzia,27,Région linguistique romanche
Natalia,27,Natalia,27,Natalia,27,Région linguistique romanche
Paula,27,Paula,27,Paula,27,Région linguistique romanche
Valentina,27,Valentina,27,Valentina,27,Région linguistique romanche
Helena,26,Helena,26,Helena,26,Région linguistique romanche
Irene,26,Irene,26,Irene,26,Région linguistique romanche
Johanna,26,Johanna,26,Johanna,26,Région linguistique romanche
Melanie,26,Melanie,26,Melanie,26,Région linguistique romanche
Adriana,25,Adriana,25,Adriana,25,Région linguistique romanche
Alice,25,Alice,25,Alice,25,Région linguistique romanche
Edith,25,Edith,25,Edith,25,Région linguistique romanche
Franziska,25,Franziska,25,Franziska,25,Région linguistique romanche
Jana,25,Jana,25,Jana,25,Région linguistique romanche
Nadja,25,Nadja,25,Nadja,25,Région linguistique romanche
Romina,25,Romina,25,Romina,25,Région linguistique romanche
Tanja,25,Tanja,25,Tanja,25,Région linguistique romanche
