Prénom,Total,Vorname,Anzahl,Nome,region
Lia,3,Lia,3,Lia,Région linguistique romanche
Sofia,3,Sofia,3,Sofia,Région linguistique romanche
Elin,2,Elin,2,Elin,Région linguistique romanche
Leana,2,Leana,2,Leana,Région linguistique romanche
Alana,1,Alana,1,Alana,Région linguistique romanche
Alice,1,Alice,1,Alice,Région linguistique romanche
Amanda,1,Amanda,1,Amanda,Région linguistique romanche
Ana,1,Ana,1,Ana,Région linguistique romanche
Anna,1,Anna,1,Anna,Région linguistique romanche
Arina,1,Arina,1,Arina,Région linguistique romanche
Aurora,1,Aurora,1,Aurora,Région linguistique romanche
Bigna,1,Bigna,1,Bigna,Région linguistique romanche
Carminho,1,Carminho,1,Carminho,Région linguistique romanche
Carolina,1,Carolina,1,Carolina,Région linguistique romanche
Chiara,1,Chiara,1,Chiara,Région linguistique romanche
Chloe,1,Chloe,1,Chloe,Région linguistique romanche
Corsina,1,Corsina,1,Corsina,Région linguistique romanche
Célia,1,Célia,1,Célia,Région linguistique romanche
Daria,1,Daria,1,Daria,Région linguistique romanche
Elisabeth,1,Elisabeth,1,Elisabeth,Région linguistique romanche
Elodie,1,Elodie,1,Elodie,Région linguistique romanche
Fabienne,1,Fabienne,1,Fabienne,Région linguistique romanche
Francesca,1,Francesca,1,Francesca,Région linguistique romanche
Gianna,1,Gianna,1,Gianna,Région linguistique romanche
Giulia,1,Giulia,1,Giulia,Région linguistique romanche
Hevi,1,Hevi,1,Hevi,Région linguistique romanche
Ilaria,1,Ilaria,1,Ilaria,Région linguistique romanche
Ivana,1,Ivana,1,Ivana,Région linguistique romanche
Julia,1,Julia,1,Julia,Région linguistique romanche
Lamia,1,Lamia,1,Lamia,Région linguistique romanche
Lara,1,Lara,1,Lara,Région linguistique romanche
Laura,1,Laura,1,Laura,Région linguistique romanche
Leonie,1,Leonie,1,Leonie,Région linguistique romanche
Lina,1,Lina,1,Lina,Région linguistique romanche
Louisa,1,Louisa,1,Louisa,Région linguistique romanche
Luisa,1,Luisa,1,Luisa,Région linguistique romanche
Luna,1,Luna,1,Luna,Région linguistique romanche
Lynn,1,Lynn,1,Lynn,Région linguistique romanche
Madleina,1,Madleina,1,Madleina,Région linguistique romanche
Maela,1,Maela,1,Maela,Région linguistique romanche
Maya,1,Maya,1,Maya,Région linguistique romanche
Melina,1,Melina,1,Melina,Région linguistique romanche
Mia,1,Mia,1,Mia,Région linguistique romanche
Mila,1,Mila,1,Mila,Région linguistique romanche
Mona,1,Mona,1,Mona,Région linguistique romanche
Naomi,1,Naomi,1,Naomi,Région linguistique romanche
Naya,1,Naya,1,Naya,Région linguistique romanche
Nea,1,Nea,1,Nea,Région linguistique romanche
Nora,1,Nora,1,Nora,Région linguistique romanche
Olivia,1,Olivia,1,Olivia,Région linguistique romanche
Onna,1,Onna,1,Onna,Région linguistique romanche
Parajsa,1,Parajsa,1,Parajsa,Région linguistique romanche
Paula,1,Paula,1,Paula,Région linguistique romanche
Pippa,1,Pippa,1,Pippa,Région linguistique romanche
Selina,1,Selina,1,Selina,Région linguistique romanche
Shayenne,1,Shayenne,1,Shayenne,Région linguistique romanche
Sienna,1,Sienna,1,Sienna,Région linguistique romanche
Sina,1,Sina,1,Sina,Région linguistique romanche
Valentina,1,Valentina,1,Valentina,Région linguistique romanche
Victoria,1,Victoria,1,Victoria,Région linguistique romanche
Victória,1,Victória,1,Victória,Région linguistique romanche
Yael,1,Yael,1,Yael,Région linguistique romanche
