Prénom,Total,Vorname,Anzahl,Nome,Totale,region
Mia,359,Mia,359,Mia,359,Suisse
Emma,352,Emma,352,Emma,352,Suisse
Sofia,317,Sofia,317,Sofia,317,Suisse
Emilia,290,Emilia,290,Emilia,290,Suisse
Lina,287,Lina,287,Lina,287,Suisse
Elena,271,Elena,271,Elena,271,Suisse
Mila,263,Mila,263,Mila,263,Suisse
Nora,256,Nora,256,Nora,256,Suisse
Malea,249,Malea,249,Malea,249,Suisse
Lia,228,Lia,228,Lia,228,Suisse
Olivia,227,Olivia,227,Olivia,227,Suisse
Ella,220,Ella,220,Ella,220,Suisse
Lea,217,Lea,217,Lea,217,Suisse
Anna,216,Anna,216,Anna,216,Suisse
Alice,215,Alice,215,Alice,215,Suisse
Giulia,214,Giulia,214,Giulia,214,Suisse
Alina,208,Alina,208,Alina,208,Suisse
Lena,208,Lena,208,Lena,208,Suisse
Chiara,207,Chiara,207,Chiara,207,Suisse
Nina,206,Nina,206,Nina,206,Suisse
Lara,204,Lara,204,Lara,204,Suisse
Luna,194,Luna,194,Luna,194,Suisse
Elina,193,Elina,193,Elina,193,Suisse
Leonie,193,Leonie,193,Leonie,193,Suisse
Julia,188,Julia,188,Julia,188,Suisse
Sophia,185,Sophia,185,Sophia,185,Suisse
Laura,182,Laura,182,Laura,182,Suisse
Yara,182,Yara,182,Yara,182,Suisse
Elin,177,Elin,177,Elin,177,Suisse
Valentina,176,Valentina,176,Valentina,176,Suisse
Emily,169,Emily,169,Emily,169,Suisse
Amelia,166,Amelia,166,Amelia,166,Suisse
Aurora,166,Aurora,166,Aurora,166,Suisse
Sara,166,Sara,166,Sara,166,Suisse
Sophie,164,Sophie,164,Sophie,164,Suisse
Luana,163,Luana,163,Luana,163,Suisse
Livia,153,Livia,153,Livia,153,Suisse
Eva,145,Eva,145,Eva,145,Suisse
Elisa,144,Elisa,144,Elisa,144,Suisse
Juna,141,Juna,141,Juna,141,Suisse
Zoé,137,Zoé,137,Zoé,137,Suisse
Mara,130,Mara,130,Mara,130,Suisse
Lou,127,Lou,127,Lou,127,Suisse
Ronja,126,Ronja,126,Ronja,126,Suisse
Jana,125,Jana,125,Jana,125,Suisse
Malia,124,Malia,124,Malia,124,Suisse
Victoria,124,Victoria,124,Victoria,124,Suisse
Maria,122,Maria,122,Maria,122,Suisse
Alma,121,Alma,121,Alma,121,Suisse
Amélie,120,Amélie,120,Amélie,120,Suisse
Ava,120,Ava,120,Ava,120,Suisse
Charlotte,120,Charlotte,120,Charlotte,120,Suisse
Melina,120,Melina,120,Melina,120,Suisse
Luisa,116,Luisa,116,Luisa,116,Suisse
Clara,115,Clara,115,Clara,115,Suisse
Noemi,114,Noemi,114,Noemi,114,Suisse
Fiona,110,Fiona,110,Fiona,110,Suisse
Hanna,109,Hanna,109,Hanna,109,Suisse
Yuna,108,Yuna,108,Yuna,108,Suisse
Alea,107,Alea,107,Alea,107,Suisse
Ayla,107,Ayla,107,Ayla,107,Suisse
Hana,106,Hana,106,Hana,106,Suisse
Alba,99,Alba,99,Alba,99,Suisse
Diana,99,Diana,99,Diana,99,Suisse
Alicia,97,Alicia,97,Alicia,97,Suisse
Dua,97,Dua,97,Dua,97,Suisse
Amelie,96,Amelie,96,Amelie,96,Suisse
Mira,96,Mira,96,Mira,96,Suisse
Elea,94,Elea,94,Elea,94,Suisse
Liv,93,Liv,93,Liv,93,Suisse
Leana,91,Leana,91,Leana,91,Suisse
Liana,90,Liana,90,Liana,90,Suisse
Zoe,90,Zoe,90,Zoe,90,Suisse
Lynn,89,Lynn,89,Lynn,89,Suisse
Louise,88,Louise,88,Louise,88,Suisse
Chloé,87,Chloé,87,Chloé,87,Suisse
Ellie,87,Ellie,87,Ellie,87,Suisse
Maya,86,Maya,86,Maya,86,Suisse
Arya,84,Arya,84,Arya,84,Suisse
Stella,83,Stella,83,Stella,83,Suisse
Lorena,82,Lorena,82,Lorena,82,Suisse
Amina,81,Amina,81,Amina,81,Suisse
Lisa,81,Lisa,81,Lisa,81,Suisse
Alessia,79,Alessia,79,Alessia,79,Suisse
Léa,78,Léa,78,Léa,78,Suisse
Melissa,78,Melissa,78,Melissa,78,Suisse
Anouk,77,Anouk,77,Anouk,77,Suisse
Helena,77,Helena,77,Helena,77,Suisse
Milena,77,Milena,77,Milena,77,Suisse
Aline,75,Aline,75,Aline,75,Suisse
Aurelia,75,Aurelia,75,Aurelia,75,Suisse
Amira,74,Amira,74,Amira,74,Suisse
Inaya,74,Inaya,74,Inaya,74,Suisse
Leni,74,Leni,74,Leni,74,Suisse
Jael,73,Jael,73,Jael,73,Suisse
Aria,72,Aria,72,Aria,72,Suisse
Paula,72,Paula,72,Paula,72,Suisse
Naomi,71,Naomi,71,Naomi,71,Suisse
Amalia,70,Amalia,70,Amalia,70,Suisse
Eline,70,Eline,70,Eline,70,Suisse
