Prénom,Total,Vorname,Anzahl,Nome,Totale,region
Noah,530,Noah,530,Noah,530,Suisse
Liam,420,Liam,420,Liam,420,Suisse
Matteo,354,Matteo,354,Matteo,354,Suisse
Leon,291,Leon,291,Leon,291,Suisse
Luca,286,Luca,286,Luca,286,Suisse
Elias,281,Elias,281,Elias,281,Suisse
Gabriel,281,Gabriel,281,Gabriel,281,Suisse
Leo,257,Leo,257,Leo,257,Suisse
Louis,249,Louis,249,Louis,249,Suisse
Leano,242,Leano,242,Leano,242,Suisse
Lio,232,Lio,232,Lio,232,Suisse
Leonardo,216,Leonardo,216,Leonardo,216,Suisse
Elio,211,Elio,211,Elio,211,Suisse
Lian,207,Lian,207,Lian,207,Suisse
Nino,206,Nino,206,Nino,206,Suisse
Aaron,201,Aaron,201,Aaron,201,Suisse
Julian,200,Julian,200,Julian,200,Suisse
Nico,198,Nico,198,Nico,198,Suisse
Elia,197,Elia,197,Elia,197,Suisse
Levi,193,Levi,193,Levi,193,Suisse
Samuel,186,Samuel,186,Samuel,186,Suisse
Finn,184,Finn,184,Finn,184,Suisse
David,174,David,174,David,174,Suisse
Leandro,173,Leandro,173,Leandro,173,Suisse
Malik,173,Malik,173,Malik,173,Suisse
Luan,172,Luan,172,Luan,172,Suisse
Mattia,167,Mattia,167,Mattia,167,Suisse
Diego,164,Diego,164,Diego,164,Suisse
Milo,164,Milo,164,Milo,164,Suisse
Levin,155,Levin,155,Levin,155,Suisse
Nael,152,Nael,152,Nael,152,Suisse
Adam,151,Adam,151,Adam,151,Suisse
Ben,151,Ben,151,Ben,151,Suisse
Lenny,150,Lenny,150,Lenny,150,Suisse
Arthur,149,Arthur,149,Arthur,149,Suisse
Dario,149,Dario,149,Dario,149,Suisse
Jonas,149,Jonas,149,Jonas,149,Suisse
Mateo,149,Mateo,149,Mateo,149,Suisse
Noé,149,Noé,149,Noé,149,Suisse
Livio,148,Livio,148,Livio,148,Suisse
Robin,142,Robin,142,Robin,142,Suisse
Enea,138,Enea,138,Enea,138,Suisse
Lucas,132,Lucas,132,Lucas,132,Suisse
Nathan,132,Nathan,132,Nathan,132,Suisse
Nelio,132,Nelio,132,Nelio,132,Suisse
Kian,131,Kian,131,Kian,131,Suisse
Mael,128,Mael,128,Mael,128,Suisse
Theo,127,Theo,127,Theo,127,Suisse
Enzo,123,Enzo,123,Enzo,123,Suisse
Tim,123,Tim,123,Tim,123,Suisse
Laurin,122,Laurin,122,Laurin,122,Suisse
Alessio,121,Alessio,121,Alessio,121,Suisse
Max,120,Max,120,Max,120,Suisse
Emil,116,Emil,116,Emil,116,Suisse
Alexander,114,Alexander,114,Alexander,114,Suisse
Nevio,113,Nevio,113,Nevio,113,Suisse
Luis,112,Luis,112,Luis,112,Suisse
Rafael,111,Rafael,111,Rafael,111,Suisse
Emilio,110,Emilio,110,Emilio,110,Suisse
Jan,110,Jan,110,Jan,110,Suisse
Felix,109,Felix,109,Felix,109,Suisse
Loris,109,Loris,109,Loris,109,Suisse
Lino,107,Lino,107,Lino,107,Suisse
Oliver,104,Oliver,104,Oliver,104,Suisse
Henry,103,Henry,103,Henry,103,Suisse
Rayan,103,Rayan,103,Rayan,103,Suisse
Aron,100,Aron,100,Aron,100,Suisse
Fabio,100,Fabio,100,Fabio,100,Suisse
Luka,100,Luka,100,Luka,100,Suisse
Lukas,100,Lukas,100,Lukas,100,Suisse
Léon,100,Léon,100,Léon,100,Suisse
Benjamin,99,Benjamin,99,Benjamin,99,Suisse
Kilian,99,Kilian,99,Kilian,99,Suisse
Gian,98,Gian,98,Gian,98,Suisse
Léo,98,Léo,98,Léo,98,Suisse
Valentin,97,Valentin,97,Valentin,97,Suisse
Alessandro,96,Alessandro,96,Alessandro,96,Suisse
Maël,95,Maël,95,Maël,95,Suisse
Paul,95,Paul,95,Paul,95,Suisse
Santiago,94,Santiago,94,Santiago,94,Suisse
Adrian,93,Adrian,93,Adrian,93,Suisse
Ethan,92,Ethan,92,Ethan,92,Suisse
Lars,92,Lars,92,Lars,92,Suisse
Daniel,91,Daniel,91,Daniel,91,Suisse
Lorenzo,90,Lorenzo,90,Lorenzo,90,Suisse
Mauro,90,Mauro,90,Mauro,90,Suisse
Nils,90,Nils,90,Nils,90,Suisse
Noel,90,Noel,90,Noel,90,Suisse
Romeo,90,Romeo,90,Romeo,90,Suisse
William,90,William,90,William,90,Suisse
Thomas,88,Thomas,88,Thomas,88,Suisse
Timo,88,Timo,88,Timo,88,Suisse
Andrin,87,Andrin,87,Andrin,87,Suisse
Isaac,87,Isaac,87,Isaac,87,Suisse
Jaron,87,Jaron,87,Jaron,87,Suisse
Simon,84,Simon,84,Simon,84,Suisse
Théo,83,Théo,83,Théo,83,Suisse
Evan,82,Evan,82,Evan,82,Suisse
Jules,81,Jules,81,Jules,81,Suisse
Nolan,79,Nolan,79,Nolan,79,Suisse
