Prénom,Total,Vorname,Anzahl,Nome,Totale,region
Maria,76111,Maria,76111,Maria,76111,Suisse
Anna,39937,Anna,39937,Anna,39937,Suisse
Sandra,34882,Sandra,34882,Sandra,34882,Suisse
Ursula,33312,Ursula,33312,Ursula,33312,Suisse
Monika,31495,Monika,31495,Monika,31495,Suisse
Elisabeth,31153,Elisabeth,31153,Elisabeth,31153,Suisse
Ruth,30641,Ruth,30641,Ruth,30641,Suisse
Claudia,30310,Claudia,30310,Claudia,30310,Suisse
Nicole,29404,Nicole,29404,Nicole,29404,Suisse
Barbara,27678,Barbara,27678,Barbara,27678,Suisse
Verena,27279,Verena,27279,Verena,27279,Suisse
Andrea,26827,Andrea,26827,Andrea,26827,Suisse
Silvia,26092,Silvia,26092,Silvia,26092,Suisse
Daniela,25532,Daniela,25532,Daniela,25532,Suisse
Christine,23420,Christine,23420,Christine,23420,Suisse
Marie,23234,Marie,23234,Marie,23234,Suisse
Karin,22611,Karin,22611,Karin,22611,Suisse
Laura,22359,Laura,22359,Laura,22359,Suisse
Marianne,21514,Marianne,21514,Marianne,21514,Suisse
Sarah,20854,Sarah,20854,Sarah,20854,Suisse
Brigitte,19901,Brigitte,19901,Brigitte,19901,Suisse
Susanne,19823,Susanne,19823,Susanne,19823,Suisse
Erika,18998,Erika,18998,Erika,18998,Suisse
Rita,18969,Rita,18969,Rita,18969,Suisse
Katharina,18459,Katharina,18459,Katharina,18459,Suisse
Margrit,18307,Margrit,18307,Margrit,18307,Suisse
Esther,17864,Esther,17864,Esther,17864,Suisse
Manuela,17859,Manuela,17859,Manuela,17859,Suisse
Anita,17710,Anita,17710,Anita,17710,Suisse
Sara,17675,Sara,17675,Sara,17675,Suisse
Heidi,16582,Heidi,16582,Heidi,16582,Suisse
Rosmarie,16366,Rosmarie,16366,Rosmarie,16366,Suisse
Beatrice,16026,Beatrice,16026,Beatrice,16026,Suisse
Sonja,15744,Sonja,15744,Sonja,15744,Suisse
Doris,15735,Doris,15735,Doris,15735,Suisse
Julia,15527,Julia,15527,Julia,15527,Suisse
Ana,15489,Ana,15489,Ana,15489,Suisse
Yvonne,15059,Yvonne,15059,Yvonne,15059,Suisse
Jacqueline,14467,Jacqueline,14467,Jacqueline,14467,Suisse
Martina,14273,Martina,14273,Martina,14273,Suisse
Eva,14271,Eva,14271,Eva,14271,Suisse
Franziska,14068,Franziska,14068,Franziska,14068,Suisse
Gabriela,13979,Gabriela,13979,Gabriela,13979,Suisse
Alexandra,13938,Alexandra,13938,Alexandra,13938,Suisse
Irene,13902,Irene,13902,Irene,13902,Suisse
Fabienne,13815,Fabienne,13815,Fabienne,13815,Suisse
Cornelia,13797,Cornelia,13797,Cornelia,13797,Suisse
Elena,13651,Elena,13651,Elena,13651,Suisse
Sabrina,13648,Sabrina,13648,Sabrina,13648,Suisse
Isabelle,13504,Isabelle,13504,Isabelle,13504,Suisse
Patricia,13453,Patricia,13453,Patricia,13453,Suisse
Nathalie,13360,Nathalie,13360,Nathalie,13360,Suisse
Rosa,13252,Rosa,13252,Rosa,13252,Suisse
Melanie,12937,Melanie,12937,Melanie,12937,Suisse
Corinne,12696,Corinne,12696,Corinne,12696,Suisse
Angela,12370,Angela,12370,Angela,12370,Suisse
Nadine,12288,Nadine,12288,Nadine,12288,Suisse
Nina,11957,Nina,11957,Nina,11957,Suisse
Edith,11913,Edith,11913,Edith,11913,Suisse
Jessica,11883,Jessica,11883,Jessica,11883,Suisse
Vanessa,11812,Vanessa,11812,Vanessa,11812,Suisse
Gertrud,11760,Gertrud,11760,Gertrud,11760,Suisse
Emma,11637,Emma,11637,Emma,11637,Suisse
Sophie,11599,Sophie,11599,Sophie,11599,Suisse
Lara,11507,Lara,11507,Lara,11507,Suisse
Lea,11326,Lea,11326,Lea,11326,Suisse
Alice,11311,Alice,11311,Alice,11311,Suisse
Caroline,10614,Caroline,10614,Caroline,10614,Suisse
Anne,10593,Anne,10593,Anne,10593,Suisse
Denise,10406,Denise,10406,Denise,10406,Suisse
Tanja,10393,Tanja,10393,Tanja,10393,Suisse
Regula,10369,Regula,10369,Regula,10369,Suisse
Simone,10218,Simone,10218,Simone,10218,Suisse
Carmen,10197,Carmen,10197,Carmen,10197,Suisse
Céline,9998,Céline,9998,Céline,9998,Suisse
Sabine,9954,Sabine,9954,Sabine,9954,Suisse
Catherine,9936,Catherine,9936,Catherine,9936,Suisse
Petra,9907,Petra,9907,Petra,9907,Suisse
Jasmin,9857,Jasmin,9857,Jasmin,9857,Suisse
Susanna,9819,Susanna,9819,Susanna,9819,Suisse
Tamara,9617,Tamara,9617,Tamara,9617,Suisse
Stefanie,9549,Stefanie,9549,Stefanie,9549,Suisse
Nadia,9532,Nadia,9532,Nadia,9532,Suisse
Marina,9444,Marina,9444,Marina,9444,Suisse
Lisa,9306,Lisa,9306,Lisa,9306,Suisse
Michelle,9129,Michelle,9129,Michelle,9129,Suisse
Chantal,9066,Chantal,9066,Chantal,9066,Suisse
Christina,8875,Christina,8875,Christina,8875,Suisse
Therese,8805,Therese,8805,Therese,8805,Suisse
Diana,8705,Diana,8705,Diana,8705,Suisse
Rahel,8674,Rahel,8674,Rahel,8674,Suisse
Johanna,8662,Johanna,8662,Johanna,8662,Suisse
Chiara,8658,Chiara,8658,Chiara,8658,Suisse
Anja,8283,Anja,8283,Anja,8283,Suisse
Sofia,8134,Sofia,8134,Sofia,8134,Suisse
Lena,8083,Lena,8083,Lena,8083,Suisse
Janine,7887,Janine,7887,Janine,7887,Suisse
Charlotte,7865,Charlotte,7865,Charlotte,7865,Suisse
Monique,7829,Monique,7829,Monique,7829,Suisse
Maja,7724,Maja,7724,Maja,7724,Suisse
