Prénom,Total,Vorname,Anzahl,Nome,Totale,region
Daniel,62695,Daniel,62695,Daniel,62695,Suisse
Peter,55002,Peter,55002,Peter,55002,Suisse
Thomas,52660,Thomas,52660,Thomas,52660,Suisse
Hans,45499,Hans,45499,Hans,45499,Suisse
Christian,41822,Christian,41822,Christian,41822,Suisse
Martin,40736,Martin,40736,Martin,40736,Suisse
Michael,39884,Michael,39884,Michael,39884,Suisse
Andreas,39741,Andreas,39741,Andreas,39741,Suisse
Markus,37104,Markus,37104,Markus,37104,Suisse
David,33330,David,33330,David,33330,Suisse
Marco,33178,Marco,33178,Marco,33178,Suisse
Patrick,31154,Patrick,31154,Patrick,31154,Suisse
Stefan,30907,Stefan,30907,Stefan,30907,Suisse
Bruno,26766,Bruno,26766,Bruno,26766,Suisse
Urs,26159,Urs,26159,Urs,26159,Suisse
Walter,24493,Walter,24493,Walter,24493,Suisse
Marcel,23975,Marcel,23975,Marcel,23975,Suisse
René,23678,René,23678,René,23678,Suisse
Simon,23389,Simon,23389,Simon,23389,Suisse
Roland,22747,Roland,22747,Roland,22747,Suisse
Pascal,22417,Pascal,22417,Pascal,22417,Suisse
Marc,21415,Marc,21415,Marc,21415,Suisse
Luca,20700,Luca,20700,Luca,20700,Suisse
Beat,20578,Beat,20578,Beat,20578,Suisse
Werner,19392,Werner,19392,Werner,19392,Suisse
Manuel,19337,Manuel,19337,Manuel,19337,Suisse
Roger,19323,Roger,19323,Roger,19323,Suisse
Paul,18865,Paul,18865,Paul,18865,Suisse
Nicolas,18856,Nicolas,18856,Nicolas,18856,Suisse
André,18799,André,18799,André,18799,Suisse
Samuel,18306,Samuel,18306,Samuel,18306,Suisse
Rolf,17901,Rolf,17901,Rolf,17901,Suisse
Kurt,17761,Kurt,17761,Kurt,17761,Suisse
Adrian,17491,Adrian,17491,Adrian,17491,Suisse
Christoph,17381,Christoph,17381,Christoph,17381,Suisse
Michel,16900,Michel,16900,Michel,16900,Suisse
Antonio,16798,Antonio,16798,Antonio,16798,Suisse
Josef,16742,Josef,16742,Josef,16742,Suisse
Lukas,16667,Lukas,16667,Lukas,16667,Suisse
Robert,16649,Robert,16649,Robert,16649,Suisse
Heinz,16417,Heinz,16417,Heinz,16417,Suisse
Jean,16189,Jean,16189,Jean,16189,Suisse
Rudolf,16183,Rudolf,16183,Rudolf,16183,Suisse
José,15366,José,15366,José,15366,Suisse
Alexander,15137,Alexander,15137,Alexander,15137,Suisse
Fabian,15130,Fabian,15130,Fabian,15130,Suisse
Reto,15028,Reto,15028,Reto,15028,Suisse
Mario,14536,Mario,14536,Mario,14536,Suisse
Philippe,14505,Philippe,14505,Philippe,14505,Suisse
Matthias,14392,Matthias,14392,Matthias,14392,Suisse
Benjamin,14239,Benjamin,14239,Benjamin,14239,Suisse
Philipp,14151,Philipp,14151,Philipp,14151,Suisse
Florian,13902,Florian,13902,Florian,13902,Suisse
Jan,13811,Jan,13811,Jan,13811,Suisse
Stephan,13432,Stephan,13432,Stephan,13432,Suisse
Ernst,13312,Ernst,13312,Ernst,13312,Suisse
Jürg,12993,Jürg,12993,Jürg,12993,Suisse
Kevin,12754,Kevin,12754,Kevin,12754,Suisse
Pierre,12709,Pierre,12709,Pierre,12709,Suisse
Alfred,12362,Alfred,12362,Alfred,12362,Suisse
Fabio,12353,Fabio,12353,Fabio,12353,Suisse
Roman,12058,Roman,12058,Roman,12058,Suisse
Giuseppe,11989,Giuseppe,11989,Giuseppe,11989,Suisse
Oliver,11857,Oliver,11857,Oliver,11857,Suisse
Anton,11692,Anton,11692,Anton,11692,Suisse
Jonas,11632,Jonas,11632,Jonas,11632,Suisse
Noah,11573,Noah,11573,Noah,11573,Suisse
Gabriel,11464,Gabriel,11464,Gabriel,11464,Suisse
Tobias,11391,Tobias,11391,Tobias,11391,Suisse
Dominik,11271,Dominik,11271,Dominik,11271,Suisse
Sandro,11230,Sandro,11230,Sandro,11230,Suisse
Max,10988,Max,10988,Max,10988,Suisse
Franz,10887,Franz,10887,Franz,10887,Suisse
Olivier,10447,Olivier,10447,Olivier,10447,Suisse
Johann,10391,Johann,10391,Johann,10391,Suisse
Alain,10330,Alain,10330,Alain,10330,Suisse
Ulrich,10241,Ulrich,10241,Ulrich,10241,Suisse
Alexandre,10216,Alexandre,10216,Alexandre,10216,Suisse
Dario,9930,Dario,9930,Dario,9930,Suisse
Francesco,9869,Francesco,9869,Francesco,9869,Suisse
Raphael,9743,Raphael,9743,Raphael,9743,Suisse
Alessandro,9686,Alessandro,9686,Alessandro,9686,Suisse
Felix,9647,Felix,9647,Felix,9647,Suisse
Eric,9561,Eric,9561,Eric,9561,Suisse
Matteo,9444,Matteo,9444,Matteo,9444,Suisse
Claudio,9281,Claudio,9281,Claudio,9281,Suisse
Robin,9010,Robin,9010,Robin,9010,Suisse
Karl,8878,Karl,8878,Karl,8878,Suisse
Bernhard,8814,Bernhard,8814,Bernhard,8814,Suisse
Fritz,8802,Fritz,8802,Fritz,8802,Suisse
Ivan,8404,Ivan,8404,Ivan,8404,Suisse
Sven,8306,Sven,8306,Sven,8306,Suisse
Yves,8304,Yves,8304,Yves,8304,Suisse
Andrea,8174,Andrea,8174,Andrea,8174,Suisse
Tim,8157,Tim,8157,Tim,8157,Suisse
Carlos,8150,Carlos,8150,Carlos,8150,Suisse
Julien,8110,Julien,8110,Julien,8110,Suisse
Nico,8109,Nico,8109,Nico,8109,Suisse
Claude,8032,Claude,8032,Claude,8032,Suisse
Richard,8030,Richard,8030,Richard,8030,Suisse
