Nom,Total,Name,Anzahl,Cognome,Totale,sprachregion,label_fr
da Silva,10287,da Silva,10287,da Silva,10287,2,Suisse romande
Ferreira,7324,Ferreira,7324,Ferreira,7324,2,Suisse romande
Pereira,6634,Pereira,6634,Pereira,6634,2,Suisse romande
dos Santos,6084,dos Santos,6084,dos Santos,6084,2,Suisse romande
Rodrigues,5309,Rodrigues,5309,Rodrigues,5309,2,Suisse romande
Favre,5153,Favre,5153,Favre,5153,2,Suisse romande
Gomes,4456,Gomes,4456,Gomes,4456,2,Suisse romande
Fernandes,3962,Fernandes,3962,Fernandes,3962,2,Suisse romande
Lopes,3892,Lopes,3892,Lopes,3892,2,Suisse romande
Martin,3867,Martin,3867,Martin,3867,2,Suisse romande
Martins,3772,Martins,3772,Martins,3772,2,Suisse romande
Oliveira,3493,Oliveira,3493,Oliveira,3493,2,Suisse romande
Müller,3468,Müller,3468,Müller,3468,2,Suisse romande
Alves,3341,Alves,3341,Alves,3341,2,Suisse romande
Marques,3247,Marques,3247,Marques,3247,2,Suisse romande
Pinto,3237,Pinto,3237,Pinto,3237,2,Suisse romande
Silva,3177,Silva,3177,Silva,3177,2,Suisse romande
Ribeiro,3143,Ribeiro,3143,Ribeiro,3143,2,Suisse romande
Gonçalves,3128,Gonçalves,3128,Gonçalves,3128,2,Suisse romande
da Costa,3085,da Costa,3085,da Costa,3085,2,Suisse romande
Garcia,3045,Garcia,3045,Garcia,3045,2,Suisse romande
Rochat,2948,Rochat,2948,Rochat,2948,2,Suisse romande
Teixeira,2932,Teixeira,2932,Teixeira,2932,2,Suisse romande
Santos,2923,Santos,2923,Santos,2923,2,Suisse romande
Rey,2898,Rey,2898,Rey,2898,2,Suisse romande
Pittet,2726,Pittet,2726,Pittet,2726,2,Suisse romande
Meyer,2684,Meyer,2684,Meyer,2684,2,Suisse romande
de Oliveira,2488,de Oliveira,2488,de Oliveira,2488,2,Suisse romande
Dias,2442,Dias,2442,Dias,2442,2,Suisse romande
Rodriguez,2354,Rodriguez,2354,Rodriguez,2354,2,Suisse romande
Blanc,2294,Blanc,2294,Blanc,2294,2,Suisse romande
Mendes,2294,Mendes,2294,Mendes,2294,2,Suisse romande
Rossier,2287,Rossier,2287,Rossier,2287,2,Suisse romande
Costa,2206,Costa,2206,Costa,2206,2,Suisse romande
Moreira,2201,Moreira,2201,Moreira,2201,2,Suisse romande
Gerber,2149,Gerber,2149,Gerber,2149,2,Suisse romande
Clerc,2134,Clerc,2134,Clerc,2134,2,Suisse romande
Fournier,2118,Fournier,2118,Fournier,2118,2,Suisse romande
Fernandez,2108,Fernandez,2108,Fernandez,2108,2,Suisse romande
Correia,2103,Correia,2103,Correia,2103,2,Suisse romande
de Jesus,2087,de Jesus,2087,de Jesus,2087,2,Suisse romande
Richard,2064,Richard,2064,Richard,2064,2,Suisse romande
de Sousa,2055,de Sousa,2055,de Sousa,2055,2,Suisse romande
Gonzalez,1998,Gonzalez,1998,Gonzalez,1998,2,Suisse romande
Monteiro,1975,Monteiro,1975,Monteiro,1975,2,Suisse romande
Soares,1967,Soares,1967,Soares,1967,2,Suisse romande
Maillard,1959,Maillard,1959,Maillard,1959,2,Suisse romande
Almeida,1956,Almeida,1956,Almeida,1956,2,Suisse romande
Monney,1945,Monney,1945,Monney,1945,2,Suisse romande
Martinez,1891,Martinez,1891,Martinez,1891,2,Suisse romande
Carvalho,1886,Carvalho,1886,Carvalho,1886,2,Suisse romande
Lopez,1885,Lopez,1885,Lopez,1885,2,Suisse romande
Perrin,1885,Perrin,1885,Perrin,1885,2,Suisse romande
Nguyen,1877,Nguyen,1877,Nguyen,1877,2,Suisse romande
Gashi,1851,Gashi,1851,Gashi,1851,2,Suisse romande
Schneider,1823,Schneider,1823,Schneider,1823,2,Suisse romande
Berger,1799,Berger,1799,Berger,1799,2,Suisse romande
Schmid,1791,Schmid,1791,Schmid,1791,2,Suisse romande
Weber,1782,Weber,1782,Weber,1782,2,Suisse romande
Cardoso,1737,Cardoso,1737,Cardoso,1737,2,Suisse romande
Michel,1731,Michel,1731,Michel,1731,2,Suisse romande
Dubois,1729,Dubois,1729,Dubois,1729,2,Suisse romande
Krasniqi,1728,Krasniqi,1728,Krasniqi,1728,2,Suisse romande
Bonvin,1704,Bonvin,1704,Bonvin,1704,2,Suisse romande
Perez,1692,Perez,1692,Perez,1692,2,Suisse romande
Reymond,1667,Reymond,1667,Reymond,1667,2,Suisse romande
Genoud,1648,Genoud,1648,Genoud,1648,2,Suisse romande
