"","gdenr","gemeinde_f","value","pct_gde","top_names_table"
"1",1,"Aeugst am Albis",14,0.7,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Nom de famille $/th£ $th£ Total $/th£ $th£ Pourcentage d'habitants de la commune $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Meier $/td£ $td£ 14 $/td£  $td£ 0.7% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Weiss $/td£ $td£ 12 $/td£  $td£ 0.6% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Angst $/td£ $td£ 11 $/td£  $td£ 0.55% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Bachmann $/td£ $td£ 11 $/td£  $td£ 0.55% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Müller $/td£ $td£ 11 $/td£  $td£ 0.55% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Steiner $/td£ $td£ 11 $/td£  $td£ 0.55% $/td£ $/tr£¢ $/table£"
"2",2,"Affoltern am Albis",73,0.57,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Nom de famille $/th£ $th£ Total $/th£ $th£ Pourcentage d'habitants de la commune $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Schneebeli $/td£ $td£ 73 $/td£  $td£ 0.57% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Krasniqi $/td£ $td£ 71 $/td£  $td£ 0.55% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Müller $/td£ $td£ 65 $/td£  $td£ 0.51% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Meier $/td£ $td£ 63 $/td£  $td£ 0.49% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Shala $/td£ $td£ 56 $/td£  $td£ 0.44% $/td£ $/tr£¢ $/table£"
"3",3,"Bonstetten",54,0.95,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Nom de famille $/th£ $th£ Total $/th£ $th£ Pourcentage d'habitants de la commune $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Müller $/td£ $td£ 54 $/td£  $td£ 0.95% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Meier $/td£ $td£ 44 $/td£  $td£ 0.78% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Fischer $/td£ $td£ 33 $/td£  $td£ 0.58% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Huber $/td£ $td£ 28 $/td£  $td£ 0.49% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Glättli $/td£ $td£ 25 $/td£  $td£ 0.44% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Roth $/td£ $td£ 25 $/td£  $td£ 0.44% $/td£ $/tr£¢ $/table£"
"4",4,"Hausen am Albis",35,0.88,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Nom de famille $/th£ $th£ Total $/th£ $th£ Pourcentage d'habitants de la commune $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Huber $/td£ $td£ 35 $/td£  $td£ 0.88% $/td£ $/tr£§ $tr£ $td£ 1. $/td£ $td£ Müller $/td£ $td£ 35 $/td£  $td£ 0.88% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Baumann $/td£ $td£ 27 $/td£  $td£ 0.68% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Studer $/td£ $td£ 23 $/td£  $td£ 0.58% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Widmer $/td£ $td£ 22 $/td£  $td£ 0.55% $/td£ $/tr£¢ $/table£"
"5",5,"Hedingen",27,0.68,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Nom de famille $/th£ $th£ Total $/th£ $th£ Pourcentage d'habitants de la commune $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Schmid $/td£ $td£ 27 $/td£  $td£ 0.68% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Spillmann $/td£ $td£ 23 $/td£  $td£ 0.58% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Keller $/td£ $td£ 20 $/td£  $td£ 0.5% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Müller $/td£ $td£ 20 $/td£  $td£ 0.5% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Baumann $/td£ $td£ 18 $/td£  $td£ 0.45% $/td£ $/tr£¢ $/table£"
"6",6,"Kappel am Albis",28,2.12,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Nom de famille $/th£ $th£ Total $/th£ $th£ Pourcentage d'habitants de la commune $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Müller $/td£ $td£ 28 $/td£  $td£ 2.12% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Steinmann $/td£ $td£ 16 $/td£  $td£ 1.21% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Bär $/td£ $td£ 14 $/td£  $td£ 1.06% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Schneebeli $/td£ $td£ 14 $/td£  $td£ 1.06% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Wüest $/td£ $td£ 14 $/td£  $td£ 1.06% $/td£ $/tr£¢ $/table£"
"7",7,"Knonau",22,0.9,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Nom de famille $/th£ $th£ Total $/th£ $th£ Pourcentage d'habitants de la commune $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Huber $/td£ $td£ 22 $/td£  $td£ 0.9% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Bucher $/td£ $td£ 17 $/td£  $td£ 0.69% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Müller $/td£ $td£ 16 $/td£  $td£ 0.65% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Häfliger $/td£ $td£ 15 $/td£  $td£ 0.61% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Meier $/td£ $td£ 15 $/td£  $td£ 0.61% $/td£ $/tr£¢ $/table£"
"8",8,"Maschwanden",20,3.11,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Nom de famille $/th£ $th£ Total $/th£ $th£ Pourcentage d'habitants de la commune $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Studer $/td£ $td£ 20 $/td£  $td£ 3.11% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Künzi $/td£ $td£ 15 $/td£  $td£ 2.33% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Wetli $/td£ $td£ 11 $/td£  $td£ 1.71% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Bachmann $/td£ $td£ 9 $/td£  $td£ 1.4% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Frei $/td£ $td£ 9 $/td£  $td£ 1.4% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Maurer $/td£ $td£ 9 $/td£  $td£ 1.4% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Stehli $/td£ $td£ 9 $/td£  $td£ 1.4% $/td£ $/tr£
¢ $/table£"
"9",9,"Mettmenstetten",69,1.21,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Nom de famille $/th£ $th£ Total $/th£ $th£ Pourcentage d'habitants de la commune $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Müller $/td£ $td£ 69 $/td£  $td£ 1.21% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Suter $/td£ $td£ 54 $/td£  $td£ 0.95% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Meier $/td£ $td£ 42 $/td£  $td£ 0.74% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Schmid $/td£ $td£ 42 $/td£  $td£ 0.74% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Baumann $/td£ $td£ 35 $/td£  $td£ 0.61% $/td£ $/tr£¢ $/table£"
"10",10,"Obfelden",55,0.94,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Nom de famille $/th£ $th£ Total $/th£ $th£ Pourcentage d'habitants de la commune $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Meier $/td£ $td£ 55 $/td£  $td£ 0.94% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Müller $/td£ $td£ 44 $/td£  $td£ 0.75% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Huber $/td£ $td£ 36 $/td£  $td£ 0.61% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Häberling $/td£ $td£ 34 $/td£  $td£ 0.58% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Bala $/td£ $td£ 29 $/td£  $td£ 0.49% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Weber $/td£ $td£ 29 $/td£  $td£ 0.49% $/td£ $/tr£¢ $/table£"
